Company,Employees,Company Location,Industry,Company URL,Website,LinkedIn URL,Facebook URL,Twitter URL,Descripcion,Technologies
The PR Net,8.0,"New York, New York","Public Relations & Communications,",https://app.apollo.io/#/organizations/5b1444dca6da98dcb8981ccb,http://www.theprnet.com/,http://www.linkedin.com/company/the-pr-net,https://www.facebook.com/theprnet,https://twitter.com/_theprnet,"The PR Net is a members network for leading publicists, marketers, entrepreneurs and media in the lifestyle industries. The PR Net is the premier global network for marketing and communications professionals. Due to the advent of digital marketing, social media, content creators and countless other recent developments, the landscape of traditional marketing and public relations has shifted dramatically. The PR Net was created in response to these quickly changing times - we are a modern, stylish take on the classic idea of a networking club and an ""industry insider favorite"" for executives looking for a central platform for industry intelligence and connections. The PR Net has members globally and currently hosts in-person events programming in New York, Los Angeles, Chicago, Miami, San Francisco and Toronto, with London coming soon.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Amazon AWS
Hosting
Circle
Financial Software
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google Analytics
Analytics and Tracking
Mobile Friendly
Other
New Relic
Web Performance Monitoring
Proofpoint
Security
Ruby On Rails
Frameworks and Programming Languages
TikTok
Other
pointHQ
Domain Name Services"
3Plus1.ai,2.0,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/63f918b9d4b91f00a32059fd,,http://www.linkedin.com/company/3plus1,,,,"Technology Insights Settings
Hubspot
Marketing Automation
CloudFlare Hosting
Hosting
Cloudflare DNS
Domain Name Services
Gmail
Email Providers
Google Apps
Other
Google Tag Manager
Tag Management
Mobile Friendly
Other"
Ivenix Infusion System,7.0,"North Andover, Massachusetts",Medical Devices,https://app.apollo.io/#/organizations/54a1351569702d38bb4a8b00,http://www.ivenix.com/,http://www.linkedin.com/company/ivenix,,https://twitter.com/FreseniusKabi,"Ivenix, Inc. has transformed infusion delivery by designing an FDA cleared infusion system that sets new standards in usability, safety & interoperability. The Ivenix Infusion System is a medical technology dedicated to eliminating infusion-related patient harm, developed the first and only large-volume infusion pump from the ground up to meet the latest U.S. Food and Drug Administration infusion pump guidelines addressing recurring safety issues with pumps. The System includes a large-volume infusion pump with administration sets, infusion management tools and analytics to inform care and advance efficiency.","Technology Insights Settings
Hubspot
Marketing Automation
Salesforce
Customer Relationship Management
AI
Other
AddThis
Social Sharing
Bootstrap Framework
CSS and JavaScript Libraries
Google Analytics
Analytics and Tracking
Google Font API
Fonts
Google Tag Manager
Tag Management
MailChimp
Email Marketing
Microsoft Office 365
Other
Mobile Friendly
Other
Oracle Cloud
Hosting
Outlook
Email Providers
Remote
Other
Shutterstock
Other
WordPress.org
CMS"
Afton Consulting Group,2.0,"Yardley, Pennsylvania","Human Resources, Staffing & Recruiting",https://app.apollo.io/#/organizations/5b1372e8a6da98dce2e90d6a,http://www.aftoncg.com/,http://www.linkedin.com/company/afton-consulting-group,,,"At Afton Consulting Group, we pride ourselves on being the leading executive search firm serving the pharmaceutical and biotechnology sectors. With a deep understanding of the unique dynamics of these industries, we are dedicated to identifying, engaging, and placing the brightest talents into positions where they can drive innovation and growth. Beyond our unparalleled executive search services, we offer tailored solutions in advisory for recruitment strategies, analytics to decipher recruitment data, and training to elevate the capabilities of internal recruiting teams. Whether it's crafting a strategic hiring plan, deriving actionable insights from recruitment metrics, or honing the skills of your recruitment staff, our expert consultants stand ready to empower your hiring process. Harness the power of strategic talent acquisition and world-class industry insights with Afton Consulting Group. Your partner in executive search.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Android
Frameworks and Programming Languages
Basis
Advertising Networks
Bullhorn
Recruitment
Circle
Financial Software
Data Analytics
Analytics and Tracking
Dropbox
Cloud Services
Flutter
Frameworks and Programming Languages
Gmail
Email Providers
Google Analytics
Analytics and Tracking
Google Apps
Other
Google Font API
Fonts
Google Tag Manager
Tag Management
Hotjar
Analytics and Tracking
IoT
Other
Laravel
Frameworks and Programming Languages
Mobile Friendly
Other
Myob
Financial Software
Nginx
Load Balancers
Python
Frameworks and Programming Languages
Remote
Other
Render
Other
Reviews
Customer Reviews
SharePoint
CMS
Shutterstock
Other
WordPress.org
CMS
Wordpress.com
CMS
reCAPTCHA
Captcha"
ClickZ.com,5.0,"New York, US","Internet, Information Technology & Services",https://app.apollo.io/#/organizations/54a138c669702d231f041500,http://www.clickz.com/,http://www.linkedin.com/company/clickz-com,,https://twitter.com/ClickZ,"ClickZ is the largest resource of interactive marketing news, information, commentary, advice, opinion, research, and reference in the world, online or off. From search to e-mail, technology to trends, its coverage is expert, exclusive, and in-depth. Its mission: to help digital marketers do their jobs better. ClickZ.com is part of the ClickZ Group and is owned by Contentive Media.","Technology Insights Settings
Hubspot
Marketing Automation
Ad Unit 300 x 250
Other
Ad Unit 300 x 600
Other
Ad Unit 320 x 50
Other
Ad Unit 728 x 90
Other
AddThis
Social Sharing
Adestra
Email Marketing
Adobe Media Optimizer
Search Marketing
Advertising.com
Advertising Networks
Bootstrap Framework
CSS and JavaScript Libraries
Cedexis Radar
Web Performance Monitoring
Disqus
Comments
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google AdSense
Advertising Networks
Google Analytics
Analytics and Tracking
Google Analytics Ecommerce Tracking
E-commerce Tools
Google Dynamic Remarketing
Retargeting
Google Font API
Fonts
Google Tag Manager
Tag Management
Hotjar
Analytics and Tracking
Linkedin Marketing Solutions
Advertising Networks
Marketo
Marketing Automation
Microsoft Office 365
Other
Moat
Advertising Networks
Mobile Friendly
Other
MouseFlow
Analytics and Tracking
ON24
Web Presentation Tools
Optimizely
Online Testing Platforms
Outlook
Email Providers
Quantcast
Analytics and Tracking
Reviews
Customer Reviews
Shutterstock
Other
SoundCloud
Other
Trustpilot
Customer Reviews
Twitter Advertising
Advertising Networks
Vimeo
Online Video Platforms
WP Engine
CMS
WordPress.org
CMS
YouTube
Online Video Platforms
reCAPTCHA
Captcha"
ExecSense,6.0,"New York, New York",E-learning,https://app.apollo.io/#/organizations/54a134b169702d3170987d00,http://www.execsense.com/,,https://www.facebook.com/4NYIF,https://twitter.com/NYIFinance,,"Technology Insights Settings
Hubspot
Marketing Automation
Salesforce
Customer Relationship Management
AI
Other
AdRoll
Retargeting
Adobe Marketing Cloud
Search Marketing
Affirm
Payments
Amazon AWS
Hosting
Amazon CloudFront
Content Delivery Networks
Amazon Elastic Load Balancer
Load Balancers
Amazon SES
Email Delivery
Android
Frameworks and Programming Languages
Backbone JS Library
CSS and JavaScript Libraries
Bing Ads
Advertising Networks
Bootstrap Framework
CSS and JavaScript Libraries
DoubleClick
Ad Servers
DoubleClick Conversion
Advertising Networks
Formassembly
Hosted Forms
Gmail
Email Providers
GoToWebinar
Web Presentation Tools
Google AdSense
Advertising Networks
Google AdWords Conversion
Advertising Networks
Google Analytics
Analytics and Tracking
Google Apps
Other
Google Dynamic Remarketing
Retargeting
Google Font API
Fonts
Google Remarketing
Retargeting
Google Tag Manager
Tag Management
Inspectlet
Analytics and Tracking
JQuery 2.1.1
CSS and JavaScript Libraries
Linkedin Marketing Solutions
Advertising Networks
Magento 2 Community
E-commerce Platforms
Mailchimp Mandrill
Email Delivery
Mobile Friendly
Other
Nginx
Load Balancers
Outlook
Email Providers
PostAffiliatePro
Other
Rackspace Email
Email Providers
React
CSS and JavaScript Libraries
Reviews
Customer Reviews
Route 53
Domain Name Services
Shutterstock
Other
Stripe
Payments
SumoMe
Widgets
Typekit
Fonts
Ubuntu
Load Balancers
Viewpoint
Contruction Management Platform
Wistia
Online Video Platforms
WordPress.org
CMS
YouTube
Online Video Platforms
jPlayer
Online Video Platforms"
Oracle Licensing Experts - Redress Compliance - Recognized Software and Cloud Experts,9.0,"Fort Lauderdale, Florida",Information Technology & Services,https://app.apollo.io/#/organizations/5e56a6bab68676000145a225,http://www.redresscompliance.com/,http://www.linkedin.com/company/oraclelicenseexpert,,,"Redress Compliance - Recognized by Gartner as a leading Oracle licensing services provider. Supporting organizations worldwide with compliance services. As independent Oracle licensing expert specialists, We earn solely from consulting fees without selling their software or holding contracts with these companies. This ensures that our guidance is unbiased and solely in your best interests. We provide global assistance in the following areas: (we have clients in 42 countries) We offer a range of services including internal licensing assessments, vendor audit defense, Oracle ULA certifications and renewals, cloud optimization, third-party support, and Java licensing advisory. Engaging us involves signing an NDA, sharing software asset details, and agreeing on a contract and work statement. Engagements usually last 4 to 12 weeks. To contact us, visit our website and use the contact form, or simply email us at info@redresscompliance.com.","Technology Insights Settings
Hubspot
Marketing Automation
Salesforce
Customer Relationship Management
Amazon Associates
Affiliate Advertising Network
AppNexus
Demand Side Platforms
Basis
Advertising Networks
BuddyPress
CMS
DoubleClick
Ad Servers
Google Font API
Fonts
Google Tag Manager
Tag Management
Media.net
Publisher Advertising Tools
Microsoft Office 365
Other
Mobile Friendly
Other
OpenX - Exchange
Publisher Advertising Tools
Outlook
Email Providers
PubMatic
Supply Side Platforms
Smartsupp
Chats
Stripe
Payments
TripleLift
Advertising Networks
WP Engine
CMS
WordPress.org
CMS
YouTube
Online Video Platforms
greyscale - grey
Other
reCAPTCHA
Captcha"
Flavor AI,3.0,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/65a66565eb1a0101c6672eaf,http://www.getflavor.ai/,http://www.linkedin.com/company/flavor-ai,,,"Say hello to unlimited, personalized product shots, created faster than you can say 'cheese', with #1 performance creative AI engine for marketers & designers in retail. Building an AI agent tailored to tax-related professional services for businesses. Flavor aims to address a consistent pain point around skilled & expensive human-hours being sucked into repetitive research & back-office tasks in the tax practice. With Flavor, professional service firms can overcome their margin efficiency & talent retention bottleneck to take on 10x more client business. Flavor's co-founding team brings their rich AI, software & professional service experiences from Microsoft, IIT-Madras, EY and ICAI.","Technology Insights Settings
Hubspot
Marketing Automation
AI
Other
Amazon AWS
Hosting
Gmail
Email Providers
Google Apps
Other
Mobile Friendly
Other
Render
Other
Route 53
Domain Name Services
Typekit
Fonts
Webflow
CMS"
Serve24Hour,2.0,"Woodbridge Township, New Jersey",Information Technology & Services,https://app.apollo.io/#/organizations/6502efe9b0a04400b6f9d728,http://www.serve24hour.com/,http://www.linkedin.com/company/serve-24-hour,https://www.facebook.com/Serve24hour/,,"Transform Your Digital Presence with Our Expert Digital Marketing Agency, As an expert digital marketing agency Pakistan we will make way for more customer experiences, consequently, you never going to miss out on the opportunities of the web which help you connect with more customers and expand your lead generation. Experience the power of effortless streamlining for unparalleled business success with Serve24Hour.com. Our cutting-edge automation solutions empower you to optimize workflows, eliminate manual tasks, and supercharge productivity. From lead generation to customer relationship management and social media scheduling, our comprehensive suite of tools covers all your digital marketing needs.","Technology Insights Settings
Hubspot
Marketing Automation
Facebook Custom Audiences
Retargeting
Facebook Login (Connect)
Social Login
Facebook Widget
Widgets
Google Analytics
Analytics and Tracking
Google Font API
Fonts
Google Tag Manager
Tag Management
Mobile Friendly
Other
WordPress.org
CMS"
HireMoxie,8.0,"Cincinnati, Ohio",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a12ac069702dab37335502,http://www.hiremoxie.com/,http://www.linkedin.com/company/hiremoxie,,,,"Technology Insights Settings
Hubspot
Marketing Automation
Amazon AWS
Hosting
Catsone
Recruitment
Data Analytics
Analytics and Tracking
Google Font API
Fonts
Hotjar
Analytics and Tracking
Mobile Friendly
Other
New Relic
Web Performance Monitoring
Nginx
Load Balancers
Phoenix
Frameworks and Programming Languages
Proofpoint
Security
Remote
Other
Render
Other
SAP
Customer Relationship Management
WordPress.org
CMS
reCAPTCHA
Captcha"
