Company,Employees,Company Location,Industry,Company URL
Caffeinated Closings,1,"Ramona, California",Real Estate,https://app.apollo.io/#/organizations/640c7ca9674ff6000144b7d2
"IGRE Capital Holdings, LLC",5,"Santa Barbara, California","Real Estate, Commercial Real Estate",https://app.apollo.io/#/organizations/604a1f3e503bb600014d09a8
Casting Depot,6,"New York, New York",Entertainment,https://app.apollo.io/#/organizations/5e572332b581bb0001829901
Replica Printing Services,10,"Poway, California",Printing,https://app.apollo.io/#/organizations/54a11c2169702d77c2f58f00
OnePayHR,3,"Albuquerque, New Mexico",Human Resources,https://app.apollo.io/#/organizations/64210bbb0cbec30001c9886a
AZSellerKit,7,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/5ee9bd22dff05b00be119868
PolicySmart®,6,"New York, New York","Financial Services, Insurance",https://app.apollo.io/#/organizations/65a18ed228d1e7000155e0b4
"Cedar Direct Log Homes, LLC",3,"Sewickley, Pennsylvania",Construction,https://app.apollo.io/#/organizations/55f73e54f3e5bb163b0005ab
GreenLists,7,"Denver, Colorado",N/A,https://app.apollo.io/#/organizations/643db376bb296c00f0fcaaf4
Riveo Creative,9,"Vestal, New York",Marketing & Advertising,https://app.apollo.io/#/organizations/54a25f75746869331881821d
NOMAD Marketing,9,"Hillsborough, North Carolina",Marketing & Advertising,https://app.apollo.io/#/organizations/6048a37c4e30bd0001103010
Laguna Candles LLC,4,"Laguna Beach, California",Wholesale,https://app.apollo.io/#/organizations/54a11f8a69702d77c22e0802
Mgluck Designs,2,"New York, New York",Design,https://app.apollo.io/#/organizations/5a9e1ef5a6da98d97e7a7286
Sunwise Capital,9,"Deerfield Beach, Florida",Financial Services,https://app.apollo.io/#/organizations/54a135a569702d44949ab700
Majestec Premium Security Screens,1,"Redondo Beach, California",Construction,https://app.apollo.io/#/organizations/5fcb59614b56ca0001e91f37
Fungi Marketing,9,"Greensboro, North Carolina",Marketing & Advertising,https://app.apollo.io/#/organizations/56d59e37f3e5bb315d000c62
Newt,2,"Cincinnati, Ohio",Information Technology & Services,https://app.apollo.io/#/organizations/5def4aa7bee5a600d693aa28
Soulful Recovery,5,"Denver, Colorado",Mental Health Care,https://app.apollo.io/#/organizations/647207a038b2bc0001a5b6cd
DFS Creative Concepts,8,"Greenville, South Carolina",Marketing & Advertising,https://app.apollo.io/#/organizations/56d5832ff3e5bb06e8005abc
Aptron Corporation,4,"Florham Park, New Jersey","Information Technology & Services,",https://app.apollo.io/#/organizations/5a9d4ec7a6da98d98c69e62f
Elvanto,3,"Atlanta, Georgia",Nonprofit Organization Management,https://app.apollo.io/#/organizations/54a1284769702d9b8b110a01
The Radix Group LLC,3,"Greenville, South Carolina",Professional Training & Coaching,https://app.apollo.io/#/organizations/5f47d79ad6f5ad0001dab0fe
Coquest Energy Group,9,"Dallas, Texas",Oil & Energy,https://app.apollo.io/#/organizations/60f12d55f9d1c300018c6346
Real Food Media,4,"Berkeley, California",Writing & Editing,https://app.apollo.io/#/organizations/54a1298569702d8eeb27f901
Electra USA,2,"New York, New York",Construction,https://app.apollo.io/#/organizations/62ff6b9c4b983e000146bbe2
Peoplebound,2,"Tucson, Arizona",Marketing & Advertising,https://app.apollo.io/#/organizations/614b23bfa0dad000a46925c0
Audax Group,8,"Lincoln, California",N/A,https://app.apollo.io/#/organizations/6425ae1e9adcc100f0b78f83
The Passive Investor Show,1,"Easton, Massachusetts",Online Media,https://app.apollo.io/#/organizations/5f492754e5881700019a42f5
Samurai Data Analytics,2,"New York, New York","Capital Markets, Financial Services,",https://app.apollo.io/#/organizations/5ed25dfcfa81f50001819b86
The Craignair Inn by the Sea And Causeway Restaurant,8,"South Thomaston, Maine",Hospitality,https://app.apollo.io/#/organizations/55f419bef3e5bb3c8a0026cd
Grow Pros Solutions,6,"Chino, California",Electrical/electronic Manufacturing,https://app.apollo.io/#/organizations/60f7fef6800cd30184a8bd89
Reveal Solutions,2,"Orlando, Florida",Hospital & Health Care,https://app.apollo.io/#/organizations/5f066010960ab700be708a76
RISE Disaster Relief & Recovery,2,"Concord, North Carolina","Nonprofit Organization Management,",https://app.apollo.io/#/organizations/62170adefc31930001e04c3c
The McNulty Team at Citrin Cooperman,5,"Westford, Massachusetts",Defense & Space,https://app.apollo.io/#/organizations/556dc3d17369641258118401
"OCR Solutions, Inc.",5,"Madeira Beach, Florida",Information Technology & Services,https://app.apollo.io/#/organizations/54a134ac69702d3170eb7b00
"Wallace and White Technology Solutions, LLC",2,"Cincinnati, Ohio",Information Technology & Services,https://app.apollo.io/#/organizations/60aebc68ad50240001b24ddf
Blueteam Networks,6,"Columbus, Ohio","Information Technology & Services,",https://app.apollo.io/#/organizations/5e57dd43a4128d0001c95f02
BUA,10,"Boston, Massachusetts",Information Technology & Services,https://app.apollo.io/#/organizations/5e57c411f0173400018543ec
InteriCMO,1,"Palo Alto, California",Management Consulting,https://app.apollo.io/#/organizations/64e345662a008c023fddb42c
LucidMedia,6,"Reston, Virginia","Internet, Information Technology & Services",https://app.apollo.io/#/organizations/54a1206169702d7fe6886f02
Tactical Tax & Estate Planning,5,"Phoenix, Arizona",Financial Services,https://app.apollo.io/#/organizations/62eb57c4d7334700018534ad
Wild Strawberry,1,"Denver, Colorado",Marketing & Advertising,https://app.apollo.io/#/organizations/5b138cf5a6da98dca8ea6dca
Repeat Customers LLC,10,"Lubbock, Texas",Market Research,https://app.apollo.io/#/organizations/6125bb55440e4d0001097385
MUSKOX Snowblowers,10,"Grand Forks, North Dakota",Machinery,https://app.apollo.io/#/organizations/60af69855547780001dc8c3c
Mayer Alloys Corporation,6,"Ferndale, Michigan",Mining & Metals,https://app.apollo.io/#/organizations/5500b2fe7369642dbc362c00
Americas Digital,4,"Austin, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/615ea301df78b000011d9fd6
Autoimmune Warrior,1,"Chicago, Illinois","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/556e389f7369641168974e01
ILM Marketing,7,"Wilmington, North Carolina",Marketing & Advertising,https://app.apollo.io/#/organizations/54a128d969702da220f14d01
Covixyl® Protective Nasal Spray,4,"Ponte Vedra Beach, Florida","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/63bb1c7bd863f40001149e5c
SWOT Analysis,2,"San Mateo, California",N/A,https://app.apollo.io/#/organizations/5c9e9b51a687730ad4b6dc17
SWEET SPOT ACADEMY,2,"Clovis, California",Professional Training & Coaching,https://app.apollo.io/#/organizations/55922bf173696418d2f1ac00
Expressive Media Film Library,2,"Pittsburgh, Pennsylvania",Nonprofit Organization Management,https://app.apollo.io/#/organizations/61ec575bb04fb10001df626b
Bluelink (Acquired by Civitech),2,"Washington, District of Columbia",Information Technology & Services,https://app.apollo.io/#/organizations/5f49c4f3f1b6ba0001f78c14
