Company,Employees,Company Location,Industry,Company URL
The Female Quotient,84,"Los Angeles, California",Marketing & Advertising,https://app.apollo.io/#/organizations/57c508d0a6da986a47e75df6
Lloyd's Maritime Institute,100,"Hudson Falls, New York","Higher Education, Education Management,",https://app.apollo.io/#/organizations/6546f1ff81e07b00019d67d7
Pursuit,84,"Dallas, Texas",Staffing & Recruiting,https://app.apollo.io/#/organizations/55f17d34f3e5bb15d6001af3
ForceBrands,79,"New York, New York",Staffing & Recruiting,https://app.apollo.io/#/organizations/5f4daa8e4d550a0001867a7e
Psychotherapy Networker,80,"Washington, District of Columbia",Publishing,https://app.apollo.io/#/organizations/54a1282269702dcef98fa200
EVONA,64,"Saint Petersburg, Florida","Staffing & Recruiting, Human Resources",https://app.apollo.io/#/organizations/5b83b437f874f74d1262c45c
Maven Analytics,64,"Boston, Massachusetts",E-learning,https://app.apollo.io/#/organizations/5da6d6ba53c0650001381664
TheWrap,84,"Los Angeles, California",Entertainment,https://app.apollo.io/#/organizations/54a121ea69702d88c4327402
INE Security (FKA eLearnSecurity),54,"Cary, North Carolina",E-learning,https://app.apollo.io/#/organizations/654e7f89197c1000018874f2
AgHires,51,"Lambertville, Michigan","Staffing & Recruiting, Human Resources",https://app.apollo.io/#/organizations/5500b7e673696416ec870a00
Interactive Resources - iR,99,"Jacksonville, Florida",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a126ba69702d8b19fd8400
The Gottman Institute,87,"Seattle, Washington","Professional Training & Coaching,",https://app.apollo.io/#/organizations/54a1ab917468695c82d14806
Amerit Consulting,73,"San Diego, California",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a1bcc074686940126eb30c
Quartic.ai,52,"San Jose, California",Information Technology & Services,https://app.apollo.io/#/organizations/5a9d898ba6da98d94d8d0ce5
Workbridge Associates,100,"Boston, Massachusetts",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a1352369702d3cbbab9100
Jobspring Partners,94,"Boston, Massachusetts",Staffing & Recruiting,https://app.apollo.io/#/organizations/5e9a095578adbe0098b4f4c2
Leadership Strategies,80,"Atlanta, Georgia",Management Consulting,https://app.apollo.io/#/organizations/54a1bfb77468694f8f5ed00d
Architizer,75,"New York, New York","Internet, Information Technology & Services",https://app.apollo.io/#/organizations/5e567b0d82ec1b0001bc5ddd
TestGrid.io,98,"Atlanta, Georgia","Information Technology & Services,",https://app.apollo.io/#/organizations/5a9ce558a6da98d94669f5f7
Tim Tebow Foundation,55,"Saint Johns, Florida",Nonprofit Organization Management,https://app.apollo.io/#/organizations/54a134f469702d3a9c847100
McKinley Marketing Partners,77,"Alexandria, Virginia","Staffing & Recruiting, Management Consulting",https://app.apollo.io/#/organizations/60f3d4e823a8bc0001494ece
Hypersonix Inc.,84,"San Jose, California",Information Technology & Services,https://app.apollo.io/#/organizations/5dc1dc296239d300e296007b
Hunter International Recruiting,83,"Avon, Ohio",Staffing & Recruiting,https://app.apollo.io/#/organizations/56d629fff3e5bb3a3e001268
Lean Enterprise Institute,77,"Boston, Massachusetts",Research,https://app.apollo.io/#/organizations/54a128be69702d90a2e26001
Prime Team Partners,70,"Seattle, Washington","Staffing & Recruiting, Management Consulting",https://app.apollo.io/#/organizations/54a12b0c69702db648285502
BOI (Board of Innovation),81,"New York, New York",Management Consulting,https://app.apollo.io/#/organizations/54a11d6c69702da10f7c1101
JustinBradley,70,"Washington, District of Columbia","Staffing & Recruiting, Human Resources,",https://app.apollo.io/#/organizations/54a128a369702dc841f8f600
Product Hunt,79,"San Francisco, California",N/A,https://app.apollo.io/#/organizations/5e5677b834b50a0001d475c2
SkyWater Search Partners,77,"Minnetonka, Minnesota","Staffing & Recruiting, Human Resources",https://app.apollo.io/#/organizations/54a1a6c974686940121adf04
Servsys Corporation,100,"Irving, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/5569ba5e736964251e058300
Streamlit,65,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/5e41a41671465700f22c8575
FoundersCard,64,"New York, New York","Information Services, Information Technology & Services,",https://app.apollo.io/#/organizations/54a13a4569702d04867fbc00
4 Corner Resources,90,"Orlando, Florida","Staffing & Recruiting, Human Resources",https://app.apollo.io/#/organizations/54a1358969702d46f067a000
SAP PRESS,71,"Quincy, Massachusetts",Publishing,https://app.apollo.io/#/organizations/556d3760736964124b76b800
Influencer,93,"San Francisco, California",Marketing & Advertising,https://app.apollo.io/#/organizations/60b2d822f8d7640001bcac8c
Smith Hanley Associates,70,"Fairfield, Connecticut",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a11e1269702d84c5d33d01
Songtrust,97,"New York, New York",Music,https://app.apollo.io/#/organizations/54a11c5f69702d77c28cad00
ZRG Embedded Recruiting/RPO,90,"Westford, Massachusetts","Staffing & Recruiting, Human Resources",https://app.apollo.io/#/organizations/54a1343669702d36c98e2a00
Kenshoo,90,"Salem, Missouri",Marketing & Advertising,https://app.apollo.io/#/organizations/60f6f4d129d10e00f8a98e3c
VeraSafe,54,"Washington, District of Columbia",Legal Services,https://app.apollo.io/#/organizations/54a1341869702d352ffc1f00
MJBiz,96,"Lakewood, Colorado",Publishing,https://app.apollo.io/#/organizations/60f2f4e1b8df9c0001e5d204
International Association of Women,62,"Chicago, Illinois",Professional Training & Coaching,https://app.apollo.io/#/organizations/5b830237324d4451d6559d5d
Murf AI,99,"Salt Lake City, Utah",Information Technology & Services,https://app.apollo.io/#/organizations/60494c14ac2d2a000190e162
FlowerHire,90,"Manhattan Beach, California",Staffing & Recruiting,https://app.apollo.io/#/organizations/5b12dc2fa6da98dcfefe36a6
CRE Analyst,54,"Dallas, Texas","Real Estate, Commercial Real Estate",https://app.apollo.io/#/organizations/5e597d08b84342000182275c
BarRaiser,77,"West Menlo Park, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5ed5f674ccb0f20001b8de1f
Docsumo 📄,91,"New York, US",Information Technology & Services,https://app.apollo.io/#/organizations/5d77f68a2e77ec00ee1a75b8
Koru UX Design,69,"Quincy, Massachusetts","Design, Computer Software",https://app.apollo.io/#/organizations/5b1381bda6da98dca5a9bf39
Coral Reef Alliance,83,"San Francisco, California",Nonprofit Organization Management,https://app.apollo.io/#/organizations/54a1d28774686940128c0214
Fair360,62,"West Palm Beach, Florida",Research,https://app.apollo.io/#/organizations/54a133e369702d2db4482300
Pachama,96,"San Francisco, California",Environmental Services,https://app.apollo.io/#/organizations/5d4097118e28ae0916b91cc1
Centrify Corporation,73,"San Francisco, California","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1216169702d84c5f9bc02
Fetch Robotics (now part of Zebra Technologies),63,"San Jose, California","Transportation/trucking/railroad,",https://app.apollo.io/#/organizations/556952cd73696425317d0500
rePurpose Global,86,"New York, New York",Environmental Services,https://app.apollo.io/#/organizations/5b130ceda6da98dcf0250f8a
Interfell,99,"Orlando, Florida",Staffing & Recruiting,https://app.apollo.io/#/organizations/5a9da5a5a6da98d9977692d9
ISmile Technologies,84,"Bolingbrook, Illinois","Information Technology & Services,",https://app.apollo.io/#/organizations/5569dc85736964255d12a200
Sofy,84,"Bellevue, Washington","Information Technology & Services,",https://app.apollo.io/#/organizations/57c4bec2a6da983714f6abdd
Association of Certified Financial Crime Specialists - ACFCS,80,"Alpharetta, Georgia",Financial Services,https://app.apollo.io/#/organizations/54a1215e69702d918ca89502
"h3 Technologies, LLC",68,"Florence, Kentucky","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1276969702dc841972b00
KBW Financial Staffing & Recruiting,92,"Bedford, New Hampshire","Staffing & Recruiting, Management Consulting",https://app.apollo.io/#/organizations/5d0a97a8f651256943692f52
BizForce,52,"Tucson, Arizona",Staffing & Recruiting,https://app.apollo.io/#/organizations/6294a2c25b5c2800d858d790
Intervue.io,69,"San Francisco, California",N/A,https://app.apollo.io/#/organizations/5fb526a0c23e8f008c28066b
WayUp,86,"Chicago, Illinois","Information Technology & Services,",https://app.apollo.io/#/organizations/55f18546f3e5bb0406001fd5
Pacific Data Integrators,62,"Roseville, California",Information Technology & Services,https://app.apollo.io/#/organizations/5569be8c7369642525b78500
Toplyne,62,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/60b5ffb79e557300c3b261aa
"Carney, Sandoe & Associates",96,"Boston, Massachusetts",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a23d077468692e71b80f19
Cordia Resources by Cherry Bekaert,74,"Vienna, Virginia","Staffing & Recruiting, Management Consulting,",https://app.apollo.io/#/organizations/54a11d5569702d7fe64e1b01
Indianapolis Business Journal,61,"Indianapolis, Indiana",Publishing,https://app.apollo.io/#/organizations/54a1350569702d36c9049600
Affectiva,55,"Boston, Massachusetts",Information Technology & Services,https://app.apollo.io/#/organizations/54a122f369702d88c486a002
Cardone Capital,89,"Aventura, Florida",Real Estate,https://app.apollo.io/#/organizations/5b8525cc324d444569b4125a
IsoTalent,54,"Lehi, Utah",Management Consulting,https://app.apollo.io/#/organizations/57c4c4a1a6da98369210dcc7
The American Lawyer,85,"New York, New York",Telecommunications,https://app.apollo.io/#/organizations/5b14f540a6da9870fa3f533d
HACE,75,"Chicago, Illinois",Nonprofit Organization Management,https://app.apollo.io/#/organizations/54a12a0369702d9b8b8aee01
Credly by Pearson,70,"New York, New York","Internet, Information Technology & Services,",https://app.apollo.io/#/organizations/54a12ab569702db648572c02
"M12, Microsoft's Venture Fund",77,"San Francisco, California",Venture Capital & Private Equity,https://app.apollo.io/#/organizations/5c20df0b80f93e61af9bc6e8
OpenView,91,"Boston, Massachusetts","Venture Capital & Private Equity,",https://app.apollo.io/#/organizations/54a134d569702d2f9fdfb100
Metadome.ai,87,"Troy, Michigan",Information Technology & Services,https://app.apollo.io/#/organizations/56dd8631f3e5bb5b0e004606
Hive Pro,76,"Herndon, Virginia",Computer & Network Security,https://app.apollo.io/#/organizations/5ed1a195a3d82e00018e69a3
Guavus,68,"San Jose, California",Information Technology & Services,https://app.apollo.io/#/organizations/54a135c469702d407f9ed500
GIS Planning,94,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/559216e373696417398d0100
Kiss The Ground,67,"Los Angeles, California","Nonprofit Organization Management,",https://app.apollo.io/#/organizations/57c4ba6da6da98367a526e1b
Hospitality Design,61,"New York, New York",Publishing,https://app.apollo.io/#/organizations/54a263bd7468693a7e52521f
acquire.com,51,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/5e7b814515881100c2b08784
Mainland,94,"Chicago, Illinois",Marketing & Advertising,https://app.apollo.io/#/organizations/5e5735695eee450001980b43
SparkFun Electronics,87,"Niwot, Colorado",Electrical/electronic Manufacturing,https://app.apollo.io/#/organizations/54a1c6817468695c82bcc80f
ProductPlan,61,"Denver, Colorado","Information Technology & Services,",https://app.apollo.io/#/organizations/55ee550ff3e5bb22ae000d6d
