Company,Employees,Company Location,Industry,Company URL
Pardot,62,"Atlanta, Georgia","Information Technology & Services,",https://app.apollo.io/#/organizations/54a126ef69702d8b190dab00
Bergen Community College,63,"Paramus, New Jersey","Government Administration,",https://app.apollo.io/#/organizations/54a11fe469702d88c445ed01
Silicon Slopes,72,"Lehi, Utah",Media Production,https://app.apollo.io/#/organizations/54a1222869702d9a8b852203
IT Avalon,58,"San Jose, California",Information Technology & Services,https://app.apollo.io/#/organizations/5d0a8d97a3ae61b7e7539f78
Cervélo,85,"Aliso Viejo, California",Sporting Goods,https://app.apollo.io/#/organizations/54a2727674686935be38b923
TIKTAL,61,"New York, New York",Marketing & Advertising,https://app.apollo.io/#/organizations/5e46a0bc15812400e3b8bac6
Pixalate,56,"Palo Alto, California","Information Technology & Services,",https://app.apollo.io/#/organizations/54a11bf269702da10f847200
ElectroNeek,83,"Austin, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/5d03acb42908bc08ee6bd7ca
Biome Makers Inc.,91,"Davis, California",Research,https://app.apollo.io/#/organizations/57c4dd11a6da986a5f9df5b4
Avoma,61,"Palo Alto, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5b15d111a6da98713cd06999
Marcum Search,53,"New York, New York",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a1394769702d267aad4f00
VisionX,88,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/5a9dae9ba6da98d954db5180
Wooqer,84,"San Jose, California",Information Technology & Services,https://app.apollo.io/#/organizations/5c1f0c0fa3ae61ec9169cf50
"Standav Corp, a Brillio Company",75,"Sunnyvale, California",Information Technology & Services,https://app.apollo.io/#/organizations/5b85a8b7324d4457b700f0d2
Health & Fitness Association (formerly IHRSA),91,"Boston, Massachusetts","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/54a11be469702da10f4f6c00
Playbook,55,"New York, New York","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/5f5a4fe0a6bc3e01a9c1a528
The Commonwealth Fund,89,"New York, New York",Philanthropy,https://app.apollo.io/#/organizations/54a13ca069702d2d7f2c1202
Siaraa,70,"Princeton, New Jersey",Computer & Network Security,https://app.apollo.io/#/organizations/5ed2210389678f00012a0416
Arable,94,"San Francisco, California","Farming, Agriculture",https://app.apollo.io/#/organizations/5a9e063da6da98d9467167ec
Ethics & Compliance Initiative (ECI),64,"Vienna, Virginia",Nonprofit Organization Management,https://app.apollo.io/#/organizations/54a1c2c37468695860b1c80e
Skylo,82,"Mountain View, California",Telecommunications,https://app.apollo.io/#/organizations/5e1de53b9b5829012810d1f7
BOXABL,88,"North Las Vegas, Nevada",Construction,https://app.apollo.io/#/organizations/5b14015ba6da98dcae5c2d4a
Ecovative - the mycelium technology company,99,"Green Island, New York",Biotechnology,https://app.apollo.io/#/organizations/54a13afb69702d2a1e743f01
The Burnt Chef Project,63,"Leawood, Kansas",Mental Health Care,https://app.apollo.io/#/organizations/5ed5ca07fcfa280001b71d3d
Noria Corporation,65,"Tulsa, Oklahoma",Mechanical Or Industrial Engineering,https://app.apollo.io/#/organizations/54a1294369702da220158401
WiredScore,100,"New York, New York",Real Estate,https://app.apollo.io/#/organizations/54a1202b69702da10f554202
Cesium,57,"Philadelphia, Pennsylvania",Information Technology & Services,https://app.apollo.io/#/organizations/5a9cfc1ca6da98d954d6f903
Onward Robotics,90,"Pittsburgh, Pennsylvania","Information Technology & Services,",https://app.apollo.io/#/organizations/55697a9c736964255dab3a00
Resilia,66,"New Orleans, Louisiana","Information Technology & Services,",https://app.apollo.io/#/organizations/5cf8263f9314e10bdf406a56
FloWater,61,"Denver, Colorado","Food & Beverages, Hospitality",https://app.apollo.io/#/organizations/54a1224269702da4255b1503
"WOMCY, LATAM Women in Cybersecurity",65,"Miami, Florida",Civic & Social Organization,https://app.apollo.io/#/organizations/5d364bfaf651251db42edc74
DigniFi,75,"Bellevue, Washington",Financial Services,https://app.apollo.io/#/organizations/556d3ad773696412849bb800
Linksoft Technologies,92,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/61ad7dcd0ca24e0001186604
Halborn,77,"Newport Beach, California",Computer & Network Security,https://app.apollo.io/#/organizations/5e566cdb07939b0001369a72
Homethrive,94,"Northbrook, Illinois",Hospital & Health Care,https://app.apollo.io/#/organizations/5e55f18fd640ab00018e56be
"HR Options, Inc.",66,"Concord, California","Human Resources, Staffing & Recruiting",https://app.apollo.io/#/organizations/54a11df169702d8aa17f2601
Goli Nutrition,95,"West Hollywood, California","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/5d4ad37e025eb20a19df5dcc
RETHINK Retail,63,"Aloma, Florida",Online Media,https://app.apollo.io/#/organizations/5da2745df307c50001f86216
Public Goods,77,"New York, New York",Mechanical Or Industrial Engineering,https://app.apollo.io/#/organizations/5b159645a6da987135fb2b63
Teepa Snow's Positive Approach to Dementia Care,86,"Efland, North Carolina","Professional Training & Coaching,",https://app.apollo.io/#/organizations/556cf0c07369641226fc5100
Finnovating,63,"Dover, Delaware",Information Technology & Services,https://app.apollo.io/#/organizations/5a9f1c46a6da98d93be7888a
Almabase,67,"San Francisco, California","Education Management,",https://app.apollo.io/#/organizations/55695a7873696425693c0f00
Atomwise,56,"San Francisco, California","Research, Biotechnology",https://app.apollo.io/#/organizations/556d5a7973696411fd8be500
Smart Meetings,68,"Sausalito, California","Hospitality, Events Services",https://app.apollo.io/#/organizations/5e57de75bd15ea0001786f9e
StoryBrand,77,"Nashville, Tennessee",Marketing & Advertising,https://app.apollo.io/#/organizations/5a9e9e66a6da98d97016dfcd
RangeForce,76,"Norfolk, Virginia","Computer & Network Security,",https://app.apollo.io/#/organizations/55ef807ff3e5bb355000115b
Amitech Solutions,72,"Creve Coeur, Missouri",Information Technology & Services,https://app.apollo.io/#/organizations/54a1b5f374686949e7f0270a
BevSource,79,"Saint Paul, Minnesota",Food & Beverages,https://app.apollo.io/#/organizations/55f7c959f3e5bb49c10002b9
Integrated Healthcare Association,66,"Oakland, California","Hospital & Health Care,",https://app.apollo.io/#/organizations/54a11d8869702d9a8b7d1d01
AIM World Services,70,"Spring, Texas","Construction, Design",https://app.apollo.io/#/organizations/5c27f74680f93e8a953cb485
Powerfront,92,"Beverly Hills, California","Information Technology & Services,",https://app.apollo.io/#/organizations/57c4bc68a6da9836828105ba
"Greater St. Louis, Inc.",66,"St. Louis, Missouri",Civic & Social Organization,https://app.apollo.io/#/organizations/604a52402ba3910001992fca
Carta Healthcare,92,"San Francisco, California","Hospital & Health Care,",https://app.apollo.io/#/organizations/5b8584b0324d442fa927c9c9
Lex Mundi,57,"Houston, Texas",Legal Services,https://app.apollo.io/#/organizations/54a1e61174686942d3013516
LEXZUR,98,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/5c250ff9a3ae61cd272854bc
Aputure,93,"West Hollywood, California",Information Technology & Services,https://app.apollo.io/#/organizations/54a13cb169702d28512f0302
Nuvitek,96,"Arlington, Virginia",Information Technology & Services,https://app.apollo.io/#/organizations/55ef4930f3e5bb49dd000460
Gameball,65,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/5e56d51bd64b410001c6689d
UserGems 💎,86,"San Francisco, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5a9e41e1a6da98d9977ae354
Knewton Alta,61,"Hoboken, New Jersey","E-learning, Higher Education,",https://app.apollo.io/#/organizations/5fc974785010480001058e00
5X,97,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/5f71a65b3f034000c09a795f
Givebutter,90,"Jonesboro, Arkansas","Fund-raising, Philanthropy,",https://app.apollo.io/#/organizations/5a9d7680a6da98d954d9cedc
Mactosys Software Technology Pvt. Ltd,69,"Everett, Washington","Information Technology & Services,",https://app.apollo.io/#/organizations/5a9e27b2a6da98d9a15dcf0f
netnumber,86,"Marlborough, Massachusetts",Telecommunications,https://app.apollo.io/#/organizations/54a134c669702d3170218d00
Silq,53,"San Jose, California",Logistics & Supply Chain,https://app.apollo.io/#/organizations/5ed23b15b2c17400019141ee
QuEra Computing Inc.,70,"Boston, Massachusetts",Research,https://app.apollo.io/#/organizations/604a4caffa6fc70001138b20
VIVO Agency,52,"Newtown, Pennsylvania",Marketing & Advertising,https://app.apollo.io/#/organizations/54a11c6069702da7538fb400
AORBIS Inc,71,"East Hartford, Connecticut",Building Materials,https://app.apollo.io/#/organizations/5eb27c68a5a3aa00fa8cef38
Pivot Cycles,100,"Tempe, Arizona",Sporting Goods,https://app.apollo.io/#/organizations/556dbd3273696411d5308201
Mi-Case,68,"Scottsdale, Arizona",Information Technology & Services,https://app.apollo.io/#/organizations/5e565e1b942f650001259d9f
Proto Hologram,62,"Los Angeles, California",Telecommunications,https://app.apollo.io/#/organizations/5e5293fbc2aa7b008c8c2975
Namogoo,84,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/55ea570ef3e5bb44a9000688
Skills for Chicagoland's Future,56,"Chicago, Illinois",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a23f6374686930c2d69319
SCALE Healthcare,92,"New York, New York",Management Consulting,https://app.apollo.io/#/organizations/5da3af3b15550e000139b415
PatientIQ,78,"Chicago, Illinois","Hospital & Health Care,",https://app.apollo.io/#/organizations/57c4fa68a6da986a3f75ed78
"Spark Hire, Inc.",62,"Northbrook, Illinois","Human Resources, Staffing & Recruiting",https://app.apollo.io/#/organizations/54a138e069702db45de60900
Bitsclan IT Solutions,65,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/5e56e935913acc0001058890
Hondros College,72,"Westerville, Ohio",Higher Education,https://app.apollo.io/#/organizations/630f8c65ab6cee0001a5bf0c
OAAA,52,"Washington, District of Columbia",Marketing & Advertising,https://app.apollo.io/#/organizations/54a12a9569702d979c373302
PetPartners Pet Insurance,73,"Raleigh, North Carolina",Insurance,https://app.apollo.io/#/organizations/54a13c4669702d285145e101
Strive Consulting,64,"Chicago, Illinois",Management Consulting,https://app.apollo.io/#/organizations/5a9cfc28a6da98d954d6f940
Alliant - The Audience Company,98,"Brewster, New York",Marketing & Advertising,https://app.apollo.io/#/organizations/57c4bbdaa6da9836d27df56b
ThirdEye Data,67,"San Jose, California",Information Technology & Services,https://app.apollo.io/#/organizations/5f478f5ed5babc000167f609
Airtower Networks,74,"Washington, District of Columbia","Telecommunications, Internet,",https://app.apollo.io/#/organizations/5e55b2468391bd00012a20f6
The Stevie® Awards,79,"Fairfax, Virginia","Public Relations & Communications,",https://app.apollo.io/#/organizations/54a1ab0d74686942d3bf4306
Lovelytics,84,"Arlington, Virginia","Management Consulting,",https://app.apollo.io/#/organizations/5b15ba30a6da9870ecf118bc
Mouseflow,56,"Austin, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/54a1273c69702d8cfce4b700
Smart Electric Power Alliance,97,"Washington, District of Columbia","Environmental Services,",https://app.apollo.io/#/organizations/57c4c03da6da9836caa6df7c
Unifyed,59,"Miami, Florida","Higher Education, E-learning",https://app.apollo.io/#/organizations/55f8b07cf3e5bb161a002bd2
Major League Rugby,89,"Dallas, Texas",Sports,https://app.apollo.io/#/organizations/5a9e3a56a6da98d9977aad67
IA Collaborative,54,"Chicago, Illinois",Design,https://app.apollo.io/#/organizations/54a11f1c69702d97c180dd01
JJ&S Environmental Services,85,"Anaheim, California",Environmental Services,https://app.apollo.io/#/organizations/61ec8ce7c1ee3b00011f02aa
AppSamurai,63,"New York, New York","Internet, Information Technology & Services",https://app.apollo.io/#/organizations/57c496cda6da9832f59648a2
Wellbees,95,"Wilmington, Delaware",Information Technology & Services,https://app.apollo.io/#/organizations/5e5847076f8da40001e08c27
Advancing Eco Agriculture,69,"Middlefield, Ohio","Farming, Ranching, Agriculture",https://app.apollo.io/#/organizations/5500c031736964606ff63500
SafelyYou,91,"San Francisco, California","Hospital & Health Care,",https://app.apollo.io/#/organizations/5a9f5c18a6da98d9a8ddd684
"AEye, Inc.",92,"Pleasanton, California",Automotive,https://app.apollo.io/#/organizations/5a9d01cca6da98d98529c0ea
Statsig,93,"Bellevue, Washington",Information Technology & Services,https://app.apollo.io/#/organizations/606bf58274810700a4f7689c
Hello Alice,65,"Houston, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/5b13f28da6da98dce93a0aa6
Mactores,59,"Bellevue, Washington",Management Consulting,https://app.apollo.io/#/organizations/5569832873696425a37f4900
DiLytics,97,"San Mateo, California",Information Technology & Services,https://app.apollo.io/#/organizations/5569b99473696425b28b8200
Vicarius,92,"New York, New York","Computer & Network Security,",https://app.apollo.io/#/organizations/57c4efb1a6da986a07d1e1fc
Aptus Health,94,"Reading, Massachusetts",Marketing & Advertising,https://app.apollo.io/#/organizations/57c4dbada6da986a1f186774
Doodles,78,"Miami, Florida",Entertainment,https://app.apollo.io/#/organizations/61998074b1a84400a401c8a6
Fuel50,99,"Laguna Niguel, California",Information Technology & Services,https://app.apollo.io/#/organizations/5d350c1ea3ae61a5481acabc
Food Industry Executive,52,"Denver, Colorado",Food & Beverages,https://app.apollo.io/#/organizations/56e5eb92f3e5bb17f4013b5d
New Story,76,"Atlanta, Georgia",Nonprofit Organization Management,https://app.apollo.io/#/organizations/5569794d7369642539dd3900
Revuze,96,"Palo Alto, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5569986f73696425552e6300
IMPACT,53,"Cheshire, Connecticut",Marketing & Advertising,https://app.apollo.io/#/organizations/60b1b95f5b9fae0001a419d8
Common Room,82,"Seattle, Washington",N/A,https://app.apollo.io/#/organizations/6064cca40b3844011c3ac38d
Splitit,77,"Atlanta, Georgia",Financial Services,https://app.apollo.io/#/organizations/5a9ec798a6da98d966476d6a
Firstbase,64,"New York, New York",Online Media,https://app.apollo.io/#/organizations/5cf135e946729d09280e1816
Tulsa Remote,54,"Tulsa, Oklahoma",Civic & Social Organization,https://app.apollo.io/#/organizations/5e5730ee558b3d0001abc584
The Institute for Luxury Home Marketing,71,"St. Louis, Missouri",Real Estate,https://app.apollo.io/#/organizations/57c4bc3aa6da983736d98580
Advent Talent Group,51,"Edina, Minnesota","Staffing & Recruiting, Management Consulting",https://app.apollo.io/#/organizations/5b8340f5324d446c157c920e
Exyn Technologies,59,"Philadelphia, Pennsylvania",Aviation & Aerospace,https://app.apollo.io/#/organizations/56de14aaf3e5bb5e2d000e76
Society for Information Management,92,"Mount Laurel, New Jersey",Nonprofit Organization Management,https://app.apollo.io/#/organizations/5e562d5e07939b000133c399
Eigen Technologies,99,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/5b14f777a6da9870efd68c4b
ForeSee (acquired by Verint),66,"Ann Arbor, Michigan","Information Technology & Services,",https://app.apollo.io/#/organizations/55921f2973696418c97a7e00
The Pedowitz Group,80,"Milton, Georgia",Management Consulting,https://app.apollo.io/#/organizations/54a19fb574686942d38ec602
PayEm,76,"New York, New York",Financial Services,https://app.apollo.io/#/organizations/5e575c5fa4128d0001918ed6
Mangomint,75,"Los Angeles, California",Information Technology & Services,https://app.apollo.io/#/organizations/5a9dee57a6da98d9852c657b
Cresilon,83,"New York, New York",Research,https://app.apollo.io/#/organizations/5a9db2cba6da98d9852abcfe
AP4 Group,78,"Lakeland, Florida",Utilities,https://app.apollo.io/#/organizations/6125dd2bcd93270114f570f4
Opendorse,83,"Lincoln, Nebraska","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1205e69702da10fc76502
CorDx,78,"Atlanta, Georgia",Research,https://app.apollo.io/#/organizations/60ad6bc295941300d9062dfe
Arize AI,97,"Berkeley, California",Information Technology & Services,https://app.apollo.io/#/organizations/5e4feab05ac901008cb9c940
"Cognito Therapeutics, Inc.",56,"Cambridge, Massachusetts",Medical Devices,https://app.apollo.io/#/organizations/5a9d7811a6da98d9a15902a6
Socialive,58,"El Segundo, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5a9ec9f8a6da98d98c6fe790
"ABA Technologies, Inc.",91,"Melbourne, Florida","E-learning, Professional Training & Coaching,",https://app.apollo.io/#/organizations/5a9d4973a6da98d938ba2f51
Market My Market,60,"Orlando, Florida",Marketing & Advertising,https://app.apollo.io/#/organizations/54a1397069702d231fe77600
ConvergePoint,55,"Katy, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/54a2602474686935bede3d1e
EmpowerID,70,"Dublin, Ohio",Information Technology & Services,https://app.apollo.io/#/organizations/5b83a45d324d4416034e0524
The Chopping Block,76,"Chicago, Illinois","Food & Beverages, Hospitality,",https://app.apollo.io/#/organizations/54a1296569702d979c08a601
MagicLinks,59,"Los Angeles, California","Internet, Information Technology & Services",https://app.apollo.io/#/organizations/55ea5212f3e5bb59a60017b9
LevLane,77,"Philadelphia, Pennsylvania",Marketing & Advertising,https://app.apollo.io/#/organizations/54a1224869702da425ed1a03
COhatch,92,"Worthington, Ohio","Consumer Services, Restaurants",https://app.apollo.io/#/organizations/5a9dad34a6da98d977f59de4
VideaHealth,85,"Boston, Massachusetts",Information Technology & Services,https://app.apollo.io/#/organizations/5d8cd63a8f353a00f0711085
Prodigal,75,"Mountain View, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5c20fb7080f93ea7fce114ae
The X Company,68,"Chicago, Illinois",Real Estate,https://app.apollo.io/#/organizations/5d8a35bf03a39200d5d65352
CloudNow Technologies,85,"Rock Hill, South Carolina","Information Technology & Services,",https://app.apollo.io/#/organizations/5569d759736964257d4ca400
Appcues,89,"Boston, Massachusetts","Information Technology & Services,",https://app.apollo.io/#/organizations/54a11ec369702d97c1d3ae01
CITCON,61,"Santa Clara, California",Financial Services,https://app.apollo.io/#/organizations/5a9d3868a6da98d938b9cd4d
Star Atlas,52,"Delaware, US",Computer Games,https://app.apollo.io/#/organizations/603f72cc3f0e4c00e22fe04d
QuickPivot Customer Data Solutions,71,"Burlington, Massachusetts","Information Technology & Services,",https://app.apollo.io/#/organizations/5f42b5c35895fb0001f99c7e
Bitwise Asset Management,75,"San Francisco, California",Financial Services,https://app.apollo.io/#/organizations/5b130adfa6da98dcdbc620bd
InBody USA,98,"Cerritos, California",Medical Devices,https://app.apollo.io/#/organizations/5f1e5c2d802196008c4f17f6
Jirav,65,"Seattle, Washington",Information Technology & Services,https://app.apollo.io/#/organizations/55ec9904f3e5bb135c003c44
Subtle Medical,57,"Menlo Park, California",Medical Devices,https://app.apollo.io/#/organizations/5b131146a6da98dca8e82b43
Button,87,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/54a11b2769702da10ff71800
ON Partners,80,"Hudson, Ohio",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a128b969702d9548153001
TeleGeography,60,"Washington, District of Columbia",Telecommunications,https://app.apollo.io/#/organizations/54a1214869702da10f6ec902
Spineology Inc.,85,"Saint Paul, Minnesota",Medical Devices,https://app.apollo.io/#/organizations/54a12a0169702dc12857a601
Drift Net,69,"Chicago, Illinois",Public Safety,https://app.apollo.io/#/organizations/5e577020f0173400015fc58b
OneValley,83,"San Mateo, California",Information Technology & Services,https://app.apollo.io/#/organizations/5f75b862c2d01500cc57fb59
ClientCurve Inc,88,"Dallas, Texas",Marketing & Advertising,https://app.apollo.io/#/organizations/54a13c1a69702d2bfde6b201
Sourcemap: the Supply Chain Mapping Company,70,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1182269702d4c9cb10a00
"NanoCellect Biomedical, Inc.",71,"San Diego, California","Research, Biotechnology",https://app.apollo.io/#/organizations/54a12a8669702d8eeb737202
Mutualink,94,"Wallingford, Connecticut",Public Safety,https://app.apollo.io/#/organizations/54a128c069702da220ed4201
AMETEK Process Instruments,94,"Pittsburgh, Pennsylvania",Machinery,https://app.apollo.io/#/organizations/5d32fd2280f93e75b78da241
Cloud4Wi,65,"New York, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/54a11d8a69702d84c5e50c01
Autonom8 Inc.,68,"Saratoga, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5b1581eda6da9870e6a9242b
Reify Health,72,"Boston, Massachusetts",Information Technology & Services,https://app.apollo.io/#/organizations/54a122b569702d7fe62c2e03
Luminos Labs,90,"Los Angeles, California","Information Technology & Services,",https://app.apollo.io/#/organizations/5a9cbe95a6da98d9663de0d3
TIDY,97,"Los Angeles, California",Consumer Services,https://app.apollo.io/#/organizations/57c4eeb0a6da986a98940572
Emergent,65,"New York, New York",Environmental Services,https://app.apollo.io/#/organizations/5e57f8ab9303fe0001da05f6
NewBeauty,52,"New York, New York",Publishing,https://app.apollo.io/#/organizations/5c26a68bf65125d3b7700767
"SCADAfence, a Honeywell Company",53,"New York, New York",Computer & Network Security,https://app.apollo.io/#/organizations/55ef06a9f3e5bb0f5d0011ba
Consumer Brands Association,96,"Arlington, Virginia",Mechanical Or Industrial Engineering,https://app.apollo.io/#/organizations/54a13c2e69702d24d353fc01
CHESS Health,55,"East Rochester, New York","Mental Health Care, Health, Wellness & Fitness",https://app.apollo.io/#/organizations/556e383073696410e51b4f01
Venn,96,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/5ee71862d2e940008c94d1fe
Stop Soldier Suicide,93,"Durham, North Carolina",Nonprofit Organization Management,https://app.apollo.io/#/organizations/54a129a069702d9548d2a701
Kiwi Partners,71,"New York, New York",Accounting,https://app.apollo.io/#/organizations/54a1356769702d3170b5e600
argodesign,77,"Austin, Texas",Design,https://app.apollo.io/#/organizations/556954697369642589f00700
Monograph,68,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/5a9f5dbfa6da98d99a3ed300
HAAS Alert,78,"Chicago, Illinois",Information Technology & Services,https://app.apollo.io/#/organizations/5b83eb73f874f76836c8e972
Neighbourly,86,"Germantown, Maryland",Management Consulting,https://app.apollo.io/#/organizations/54a11b0969702d97c1fa1000
Gain,77,"Atlanta, Georgia",Financial Services,https://app.apollo.io/#/organizations/5ed57b61efe8b500011ad0d8
Echelon Risk + Cyber,63,"Pittsburgh, Pennsylvania",Computer & Network Security,https://app.apollo.io/#/organizations/60b934385a9c9800f521a0d9
Stacker,97,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/5b15b345a6da9870efd9f68f
Nucleus Biologics,62,"San Diego, California","Biotechnology, Research",https://app.apollo.io/#/organizations/5a9e3b8aa6da98d9356ae527
Untappd,72,"Charlotte, North Carolina",N/A,https://app.apollo.io/#/organizations/5f46950000840100010e2404
OhmniLabs,52,"Milpitas, California",Electrical/electronic Manufacturing,https://app.apollo.io/#/organizations/56e6d1e1f3e5bb3a2400c843
Overseas Network,97,"Coral Gables, Florida","Leisure, Travel & Tourism",https://app.apollo.io/#/organizations/5da290701322d4000188bb33
Onfleet,79,"San Francisco, California","Computer Software, Information Technology & Services",https://app.apollo.io/#/organizations/5569795c7369642571cb3600
CloudCheckr (part of Spot by NetApp),59,"Rochester, New York","Information Technology & Services,",https://app.apollo.io/#/organizations/54a122e569702d86b6661103
Geo Owl,82,"Wilmington, North Carolina",Online Media,https://app.apollo.io/#/organizations/5569812c7369642549d24000
Weathermatic,97,"Garland, Texas",Environmental Services,https://app.apollo.io/#/organizations/54a1212369702d84c53f7502
HyperBeans Inc,73,"Washington, District of Columbia","Information Technology & Services,",https://app.apollo.io/#/organizations/5da645c6763a820001661109
River,94,"Columbus, Ohio",Financial Services,https://app.apollo.io/#/organizations/5e57911c05b1890001e90837
Summit Carbon Solutions,83,"Ames, Iowa",Environmental Services,https://app.apollo.io/#/organizations/60f42f13b158e20001d87723
Liqid,83,"Westminster, Colorado",Information Technology & Services,https://app.apollo.io/#/organizations/55f514b8f3e5bb6efc000c90
TeamSupport,72,"Dallas, Texas","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1362f69702d3cbbaf2901
PACO Collective,88,"Chicago, Illinois",Marketing & Advertising,https://app.apollo.io/#/organizations/5c1280339fe2220a7de90135
PlanetScale,64,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/5b857120324d446a4eb9bd13
The Leadership Consortium (TLC),53,"Concord, Massachusetts",Management Consulting,https://app.apollo.io/#/organizations/5e5829d3a27350000161c2a7
GTM Buddy,58,"Burlington, North Carolina",Information Technology & Services,https://app.apollo.io/#/organizations/5ee780ac35edf400bfed1c07
Impec Group,100,"Santa Clara, California",Facilities Services,https://app.apollo.io/#/organizations/5ea723d1653bae008cd276cd
Stayflexi,61,"San Francisco, California",Hospitality,https://app.apollo.io/#/organizations/5da6e6b4a8869b0001d790b6
AlterG Anti-Gravity Systems,60,"Fremont, California",Medical Devices,https://app.apollo.io/#/organizations/556d7e077369641266312d01
"TapRooT® | System Improvements, Inc.",60,"Knoxville, Tennessee",Management Consulting,https://app.apollo.io/#/organizations/54a198a574686945fab55d00
Nok Recommerce,100,"Austin, Texas",Consumer Electronics,https://app.apollo.io/#/organizations/5b145425a6da98dcfe027c76
Social Current,53,"Washington, District of Columbia",Nonprofit Organization Management,https://app.apollo.io/#/organizations/6165ffa316963e00a450a425
Wiiisdom,86,"Cambridge, Massachusetts","Information Technology & Services,",https://app.apollo.io/#/organizations/54a1392269702de5b3141300
Epipheo,59,"Cincinnati, Ohio",Marketing & Advertising,https://app.apollo.io/#/organizations/54a23d2674686930c26ac118
Boosted Commerce,84,"Beverly Hills, California",Retail,https://app.apollo.io/#/organizations/663687aa30fc7700013708b5
NSTXL (National Security Technology Accelerator),63,"Los Angeles, California",Defense & Space,https://app.apollo.io/#/organizations/54a1228d69702d9a8b224e03
Cupix,92,"San Jose, California","Information Technology & Services,",https://app.apollo.io/#/organizations/56e1c4eef3e5bb3f5d0046c3
Common Desk,86,"Dallas, Texas","Hospitality, Events Services",https://app.apollo.io/#/organizations/54a1271769702d979c374f00
Alloy,70,"Atlanta, Georgia",Marketing & Advertising,https://app.apollo.io/#/organizations/5da217d5c66d0f0001f91f11
Cyberight,80,"Boca Raton, Florida","Computer & Network Security,",https://app.apollo.io/#/organizations/6231b9f452565300a5d2376f
