Company,Employees,Company Location,Industry,Company URL
Brilled Lighting,7,"Logan, Utah",Electrical/electronic Manufacturing,https://app.apollo.io/#/organizations/5ed0f4b0e7964f000124f2b6
Freeplay,10,"Boulder, Colorado",Information Technology & Services,https://app.apollo.io/#/organizations/63eac8ce7fda2000da3d7cb0
Benchmark Income Group,6,"Dallas, Texas",Financial Services,https://app.apollo.io/#/organizations/6059d692c45e51013807906e
Metropolitan Strategies,9,"Miami, Florida","International Trade & Development,",https://app.apollo.io/#/organizations/5a9df86aa6da98d9a15c81b4
TimePiece Trading LLC,8,"Miami, Florida",Luxury Goods & Jewelry,https://app.apollo.io/#/organizations/61af0245d6b34900a45ef5b8
JONES Marketing & PR,9,"St. Louis, Missouri",Marketing & Advertising,https://app.apollo.io/#/organizations/54a139d169702dc8e46f6a00
Ashton Marine Corporation,10,"Muskegon, Michigan",Maritime,https://app.apollo.io/#/organizations/5c24aad8a3ae61cca960fa27
Purpose Connect,2,"Springfield, Missouri","Information Technology & Services,",https://app.apollo.io/#/organizations/62135d7c7a80bc00db77e2ef
Data Rabbit,2,"Mount Pleasant, South Carolina",Real Estate,https://app.apollo.io/#/organizations/5b86342df874f743a9322d6a
Brightside Research Solutions,4,"New York, New York",Market Research,https://app.apollo.io/#/organizations/65113e6bdbb7cc00d2099d19
KBID,3,"Overland Park, Kansas",Design,https://app.apollo.io/#/organizations/5f400e68eeba6300015e8482
Culturally Responsive School Leadership Institute,6,"Saint Paul, Minnesota",Civic & Social Organization,https://app.apollo.io/#/organizations/5f48a16956bdc500016ee21e
The Blue Heart Foundation,6,"San Diego, California",Individual & Family Services,https://app.apollo.io/#/organizations/56d3826ef3e5bb22810011ab
NUMINA TRANSCRIPTION SVCS INC,6,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/604884d54e30bd000139d3ae
ROI Online an Internet Marketing Agency,6,"Amarillo, Texas",Marketing & Advertising,https://app.apollo.io/#/organizations/54a11cf069702d84c519d400
Blue Kite,5,"Nashville, Tennessee",Marketing & Advertising,https://app.apollo.io/#/organizations/556958fd73696425ee0e0d00
CEO School for Women™,1,"Punta Gorda, Florida",E-learning,https://app.apollo.io/#/organizations/5b8640a1f874f735e9c2ebc2
IntelliTrack®,10,"Baltimore, Maryland","Information Technology & Services,",https://app.apollo.io/#/organizations/54a121cb69702d97c1e02703
Opportunity Zone Consultants,2,"Charlotte, North Carolina",Financial Services,https://app.apollo.io/#/organizations/5da502e3a14bd90001e15ca7
Tratta,9,"Baxter, Minnesota",N/A,https://app.apollo.io/#/organizations/55923d5f7369641912a7eb00
ChilliPrinting Inc,2,"Valley Cottage, New York",Printing,https://app.apollo.io/#/organizations/57c4c4f6a6da98369210dfaf
Evexia Medical,4,"Jupiter, Florida",Medical Practice,https://app.apollo.io/#/organizations/61ad9db3fc6aa300017638ea
Tondo Fulfillment,6,"Wilmington, Delaware",Logistics & Supply Chain,https://app.apollo.io/#/organizations/62d98357a7605000df8abdb8
MyChild Inc.,5,"Chicago, Illinois",Government Administration,https://app.apollo.io/#/organizations/5c25f580f65125e269282698
LegalGEN,7,"Richardson, Texas",Information Technology & Services,https://app.apollo.io/#/organizations/61ec7d06a9f4b30001240ff8
Cheerful,5,"Denver, Colorado","Fund-raising, Philanthropy",https://app.apollo.io/#/organizations/5a9d6dd8a6da98d94d8c42b8
Redstone Security,6,"Scottsdale, Arizona",Computer & Network Security,https://app.apollo.io/#/organizations/64a058d37adf2b0001365691
Tiny Marketing by Sarah Noel Block,2,"Hoffman Estates, Illinois",Marketing & Advertising,https://app.apollo.io/#/organizations/5ee5b56b5f0bfa00be4cfb6d
Power Resource Group,7,"Farmville, North Carolina","Renewables & Environment,",https://app.apollo.io/#/organizations/5da2ec6a1724fb00011773be
