Company,Employees,Company Location,Industry,Company URL
BioBuzz,9,"Baltimore, Maryland",Staffing & Recruiting,https://app.apollo.io/#/organizations/54a1225b69702d97c1115a03
Ignyte,8,"San Diego, California","Marketing & Advertising,",https://app.apollo.io/#/organizations/556ce4027369641271b94700
Round Table Companies,10,"Deerfield, Illinois",Management Consulting,https://app.apollo.io/#/organizations/54a1350269702d4b2eb45200
Jaunt,5,"Mesa, Arizona",Management Consulting,https://app.apollo.io/#/organizations/5e57764305426d0001a0eca9
Allera,9,"Atlanta, Georgia",Information Technology & Services,https://app.apollo.io/#/organizations/615c2b9010deb90001c4c4e4
Motion,10,"Richmond, Virginia",Marketing & Advertising,https://app.apollo.io/#/organizations/5dd40b010f1c8900e0ec1546
POPi/o,9,"Sandy, Utah","Financial Services, Banking",https://app.apollo.io/#/organizations/5d0aabb8f651258b6d076481
"Nextgengolf, Inc",1,"Boston, Massachusetts","Sports, Events Services",https://app.apollo.io/#/organizations/5569b7bf7369642539708500
LEADX3M Executive Advisors,4,"Winchester, Massachusetts",Management Consulting,https://app.apollo.io/#/organizations/5da4cd4123bb170001f26290
"FrontLane, Inc.",10,"Cambridge, Massachusetts",Transportation/trucking/railroad,https://app.apollo.io/#/organizations/5b142ef4a6da98dcb897b4f4
Keen Home Inc.,10,"Marlborough, Massachusetts","Electrical/electronic Manufacturing,",https://app.apollo.io/#/organizations/54a1203569702d97c18c5702
Propel Day,3,"West Des Moines, Iowa",Professional Training & Coaching,https://app.apollo.io/#/organizations/61ec6d484823b40001a9ef2d
Musical Theatre Factory,16,"New York, New York",Performing Arts,https://app.apollo.io/#/organizations/556d244a736964123d4f9700
Black Pagoda Advisors,2,"Scottsdale, Arizona",Management Consulting,https://app.apollo.io/#/organizations/659bcf6347319a01c6a9fb73
DeSoto Development Corporation,5,"DeSoto, Texas",Real Estate,https://app.apollo.io/#/organizations/5d0aa5fea3ae612a7bf4fea6
Empire Precast,5,"Lake Elsinore, California",Construction,https://app.apollo.io/#/organizations/559213cb73696419d8b45300
Workforce Matters Funders Network,1,"Boston, Massachusetts","Fund-raising, Philanthropy",https://app.apollo.io/#/organizations/5b83964c324d44165acd8625
"NanoPharmaSolutions, Inc.",4,"San Diego, California",Pharmaceuticals,https://app.apollo.io/#/organizations/5fcabfee72817e00019c8895
CAI-Greater Los Angeles Chapter,4,"Glendale, California",Real Estate,https://app.apollo.io/#/organizations/5592159c7369642393510000
Factor Finders,10,"Beachwood, Ohio",Financial Services,https://app.apollo.io/#/organizations/54a1380e69702d9fd1fe1200
Wild Moose Ventures,1,"Minneapolis, Minnesota",Real Estate,https://app.apollo.io/#/organizations/6049b733d9879900014b6c1d
Merchant Tree,7,"Madison Heights, Michigan",Financial Services,https://app.apollo.io/#/organizations/5f630b1f6dd9c8013b314788
Thinkinworld,6,"Weston, Florida",Market Research,https://app.apollo.io/#/organizations/5e5848099223680001125173
"Netra, Inc.",8,"Boston, Massachusetts","Information Technology & Services,",https://app.apollo.io/#/organizations/54a122a169702d8aa1012103
LiquidView,5,"San Francisco, California",Information Technology & Services,https://app.apollo.io/#/organizations/6161a2d0f2dbac0001715c08
"Tourmaline Enterprises, Inc.",7,"Temecula, California",Printing,https://app.apollo.io/#/organizations/5d0ab2f080f93e129660dec6
ChoiceWORX,8,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/5cb4e2f7a3ae61c59734ecc3
Parcl Labs,6,"New York, New York",Real Estate,https://app.apollo.io/#/organizations/6322781375faa800b431160a
Brightline Title,7,"Tampa, Florida",Real Estate,https://app.apollo.io/#/organizations/5569f2657369641a18130000
Renewables.org,6,"San Francisco, California",Financial Services,https://app.apollo.io/#/organizations/61142fb93f1ca300da18a40d
Digital Assets Data Inc.,2,"Denver, Colorado",Information Services,https://app.apollo.io/#/organizations/5b87394ff874f73a0d673f82
City of Lynchburg Office of Economic Development & Tourism,10,"Lynchburg, Virginia",Government Relations,https://app.apollo.io/#/organizations/5e57c7dcd2bd68000120e613
"IC-Fluid Power, Inc.",6,"Rossford, Ohio",Machinery,https://app.apollo.io/#/organizations/54a1349769702d46f0772300
RightPath Resources,9,"Suwanee, Georgia",Professional Training & Coaching,https://app.apollo.io/#/organizations/54a20aa87468692e71c89707
Coax Insights Inc.,3,"New York, US","Market Research, Research",https://app.apollo.io/#/organizations/6402c5b11d5779000111d1e4
